AVG_CLASS_SIZE_1_3,AVG_CLASS_SIZE_4_7
20.6,25.7
20.7,25.7
20.7,25.5
20.7,25.5
20.8,25.8
20.8,26.1
21,25.7
21.4,26.4
21.5,26.6
21.9,27
22,27.2
19.4,23.2
18.5,22.4
18,23.2
21.8,26.3
20.6,26
20.4,25.7
20.7,25.5
18.7,26.8
19.4,23.8
21,22.2
21.7,28.4
18.8,20.8
17.5,24
20,21
19.7,23.6
17.4,19.2
16.5,16.6
20,25.5
19.9,25
19.7,20.2
21.7,19.1
20.9,23
22.3,27.7
21.5,24.6
22.5,29.4
23.8,25.3
23.7,25.7
23.8,27.2
22.7,28
21.8,29.7
22.3,28
20.4,26.2
20.1,26.5
21.3,25
21.3,26.7
22.6,27.9
21.8,27.7
24,26.9
22.2,28.2
23.3,28.8
22,26.6
22,27.7
21.9,28.5
21.2,27.3
21.2,21.8
19,23
21.2,23.5
21.5,19.8
22.3,22.4
22.3,27.3
21.4,24.5
21.3,28.5
22.3,26.2
21.1,27.6
21.8,27.7
18,23.2
19.1,23.4
19.4,22.3
22.3,22.3
20.1,22.6
21.9,25.5
19.8,26.7
20.9,26.3
17.7,16.5
13.6,18
14.9,19.5
15.7,13.5
19.3,23.1
18.8,17.5
13.2,22.1
14.1,17.2
16.8,19
18.4,15.5
17.6,18
17.7,16.9
20.6,20.9
17.4,17
16.8,19.2
19.8,23.5
19.4,24.5
22,23.5
21,25.2
19.5,24
21.1,25
21.7,27
16.3,24
16.7,22.3
19.6,24
17.9,26.7
17.3,28
20.9,26.3
21.7,27.2
21,25.5
21.8,26.3
22.7,26.1
21.9,27
21,23.8
20.3,25.5
19,19
21.6,23.8
22.4,25.7
22.4,24.5
21.1,25.9
19.9,27.5
19.6,25.1
19.8,28.3
21.9,27
20.7,28.1
21.6,27.4
22.1,28.4
21.9,26.2
21.2,25.2
20.3,24.6
22.3,25.1
20.8,24.4
21.5,25.2
21.8,24.6
21.4,25.6
22.4,26.1
22.9,28.3
23.4,27.2
21.3,22.8
18.3,20
18.9,21.2
21,22.5
19.9,20.3
20.7,22.3
20.1,23.7
18.8,23.1
20.4,24.3
20,24.7
22,22.3
19.6,24.3
20.8,22.8
21.3,26.4
20.3,23.3
19.2,23.9
19.3,25.8
19,25.7
20.9,25.7
20.4,27.2
19.9,27.3
22.3,27.8
19.2,26
21.2,27
19.9,25.3
21.8,25.3
20.7,25.5
21.8,26.4
21.2,26.9
20.6,27.6
21.6,26.6
20,26.8
21,25.5
21.8,25.7
21.6,27.3
20,25.2
22.3,29
21.7,27.8
20.6,26.1
18.8,25.9
19.8,27.7
21.8,27.2
20.3,29.8
23.2,28.7
20.6,27.6
20,28.4
22.1,25.2
21.3,27.9
21.6,28.2
20.2,26.8
21.4,28.3
22.6,26.3
